File,params,mean_test_score,std_test_score
Epoch/DATA4/D4SBI_S02_FI2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.585625,0.13129612284831566
Epoch/DATA4/D4SBI_S02_FI2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.68,0.12095970403402945
Epoch/DATA4/D4SBI_S02_FI2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.631875,0.11452858540556589
Epoch/DATA4/D4SAI_S01_FI2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.685,0.11316470297756277
Epoch/DATA4/D4SAI_S01_FI2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.626875,0.11055788924812196
Epoch/DATA4/D4SAI_S01_FI2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.7225,0.09614442261514707
Epoch/DATA4/D4SAI_S03_NF2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.613125,0.12583936933646797
Epoch/DATA4/D4SAI_S03_NF2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.625625,0.10734545577247319
Epoch/DATA4/D4SAI_S03_NF2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.6475,0.11842719282327009
Epoch/DATA4/D4SBI_S02_NF4S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.611875,0.10979206198537307
Epoch/DATA4/D4SBI_S02_NF4S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.595,0.10096410253154335
Epoch/DATA4/D4SBI_S02_NF4S8ACH-epo.fif,{'RNA__solver': 'adam'},0.650625,0.10828745021931212
Epoch/DATA4/D4SAI_S02_NF2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.675,0.12086924753633571
Epoch/DATA4/D4SAI_S02_NF2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.673125,0.11687834219820199
Epoch/DATA4/D4SAI_S02_NF2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.703125,0.11400897716846688
Epoch/DATA4/D4SAI_S01_NF2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.491875,0.11410487226670034
Epoch/DATA4/D4SAI_S01_NF2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.623125,0.10769422860580784
Epoch/DATA4/D4SAI_S01_NF2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.56375,0.10568969911963987
Epoch/DATA4/D4SAI_S03_FI4S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.595625,0.11707869949311873
Epoch/DATA4/D4SAI_S03_FI4S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.455625,0.08851862445271051
Epoch/DATA4/D4SAI_S03_FI4S8ACH-epo.fif,{'RNA__solver': 'adam'},0.641875,0.1204986384777853
Epoch/DATA4/D4SAI_S01_FI4S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.5675,0.10813764376941083
Epoch/DATA4/D4SAI_S01_FI4S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.495,0.09465397508821274
